mos	fr	en
pʋg-sɛdã ra-sãngã le waame.	pʋg-sɛdã ra-sãngã le waame.	pʋg-sɛdã ra-sãngã le waame.
F ra-taag sã n ko ki n paam, bɩ f pẽg-a tɩ pa a yoor n ko ye.	Si ton rival fait des bonnes récoltes, il faut le féliciter parce que ce n'est pas son pénis qui a cultivé. (proverbe: nous devons dépasser les rivalités entre personnes pour être objectifs et reconnaître sans condition le mérite de nos semblables et de nos adversaires)	If your rival has a good harvest, you have to congratulate him because it was not his penis that cultivated. (proverb: we must overcome rivalries between people to be objective and unconditionally recognize the merit of our fellow human beings and our adversaries)
raas wɛ n yaa ra-tãt-n-daar-daare	raas wɛ n yaa ra-tãt-n-daar-daare	raas wɛ n yaa ra-tãt-n-daar-daare
rũndã sã n ya tẽne, ra-tãt yaa lamusa.	rũndã sã n ya tẽne, ra-tãt yaa lamusa.	rũndã sã n ya tẽne, ra-tãt yaa lamusa.
Yɩbrg yeelame tɩ ra-vɩʋʋg (bɩ sẽk) kae n pãbd pag ye, raar fãa yaa raaga.	Le charognard dit qu'il n'y a pas de jour libre pour battre la femme; tous les jours, il y a un marché. (Proverbe: quand on est occupé, il y a des choses qu'on ne peut pas faire.)	The scavenger says there is no free day to beat the woman; every day there is a market. (Proverb: When you're busy, there are things you can't do.)
Yam ka meng paasda ra-wẽndlem. / Pa nong m meng paasda ra-wẽndlem.	N'être pas fier de soi-même aggrave la laideur. (Proverbe: chacun doit être fier de sa personne, qu'il soit beau ou laid.)	Not being proud of yourself makes ugliness worse. (Proverb: everyone should be proud of their person, whether beautiful or ugly.)
Ra-wẽng rooda a ma roogẽ sãana.	L'homme laid fait la cour à l'étrangère de sa mère. (Proverbe: chacun doit profiter des opportunités qui se présentent à lui.)	The ugly man courts his mother's stranger. (Proverb: Everyone should take advantage of the opportunities that come their way.)
a yii arba, n maan ra-yɩt-n-daar n lebg n wa sibr daare.	a yii arba, n maan ra-yɩt-n-daar n lebg n wa sibr daare.	a yii arba, n maan ra-yɩt-n-daar n lebg n wa sibr daare.
Mam na n kula ra-yɩta.	Je rentrerai après demain.	I will go home after tomorrow.
rũndã sẽn ya ra-zaan-daar n ka rimaasã nebã ka waoog raagẽ wã ye.	rũndã sẽn ya ra-zaan-daar n ka rimaasã nebã ka waoog raagẽ wã ye.	rũndã sẽn ya ra-zaan-daar n ka rimaasã nebã ka waoog raagẽ wã ye.
m kota ra-zoobr n tuk m lugri.	m kota ra-zoobr n tuk m lugri.	m kota ra-zoobr n tuk m lugri.
A geta ninã raa.	Il regarde quelqu'un d'un regard vide.	He looks at somebody with an empty gaze.
Zĩig maag tɩ m da nemd raada kõbre.	Qui attend que l'ardeur du soleil s’apaise pour qu'il achète de la viande, paiera un os. (proverbe disant: il est bon d'être patient, cependant l'excès de patience porte préjudice à l'individu. O n doit être patient mais de manière raisonnable)	Whoever waits for the heat of the sun to subside so that he buys meat, will pay a bone. (proverb saying: it is good to be patient, however excess of patience is detrimental to the individual. One must be patient but in a reasonable way)
yãk lɛng n lemb-a tɩ yaa m raadenga.	yãk lɛng n lemb-a tɩ yaa m raadenga.	yãk lɛng n lemb-a tɩ yaa m raadenga.
raag biig noor mii goam ne koosgo.	raag biig noor mii goam ne koosgo.	raag biig noor mii goam ne koosgo.
pa tɩ m kẽng la m tɩ bao raag biig n wa kõ fo.	pa tɩ m kẽng la m tɩ bao raag biig n wa kõ fo.	pa tɩ m kẽng la m tɩ bao raag biig n wa kõ fo.
A kẽnga raaga.	Elle est allée au marché.	She went to the market.
ki wã raag yaa wãn dũndã-rũndã wã?	ki wã raag yaa wãn dũndã-rũndã wã?	ki wã raag yaa wãn dũndã-rũndã wã?
Gãngã-raag wẽedame.	On frappe le grand tambour à voix basse.	They beat the big drum having a low voice.
Tɩ-raaga.	Arbre mâle.	Male tree.
kãan-daaga.	kãan-daaga.	kãan-daaga.
gãngã-raagã wẽedame tɩ gãngãn-yãangã limsdẽ.	gãngã-raagã wẽedame tɩ gãngãn-yãangã limsdẽ.	gãngã-raagã wẽedame tɩ gãngãn-yãangã limsdẽ.
kiparen-daase	kiparen-daase	kiparen-daase
kom-bãooneg zĩigẽ yaa bʋ-raas bala.	kom-bãooneg zĩigẽ yaa bʋ-raas bala.	kom-bãooneg zĩigẽ yaa bʋ-raas bala.
A raaga koomã yʋʋrẽ.	Elle a versé l'eau dans un canari.	She poured the water in a jar.
Tigsgã saame tɩ zãmã wã raag n kẽed raagã.	La réunion est terminé et toute la foule se déplace en masse vers le marché.	The meeting is over and the crowd goes to the market.
B raag-a lame t'a yik n na n kʋ a menga.	On a jeté un mauvais sort sur lui pour qu'il va se tuer.	They cast a spell on him that he will kill himself.
A raanda koomã.	Elle verse l'eau.	She pours out the water.
Raar ninga, a na wa beoogo.	Peut-être il viendra demain.	Maybe he will come tomorrow.
Zĩrẽ sã n zoe yʋʋm koabga, sɩd yikda raar-n-yɛng n dig-a n yõke.	Si le mensonge met cent ans à courir, la vérité met un seul jour pour le rattraper. (proverbe disant: tout ce qui est bâti sur la base du mensonge finira par s'écrouler.)	If the lie takes a hundred years to run, the truth takes only one day to catch up with it. (A proverb that says: whatever is built on the basis of a lie will eventually collapse.)
kell n yaa raar-n-kang la a wa yã.	kell n yaa raar-n-kang la a wa yã.	kell n yaa raar-n-kang la a wa yã.
Raya loogda tao-tao.	Les jours passent vite.	The days pass quickly.
Rasem a nu rũndã.	Il y a cinq jours.	Five days ago.
Raar ninga, a na wa beoogo.	Peut-être il viendra demain.	Maybe he will come tomorrow.
yĩyõaag ne yʋʋmde, yaa rɩ-raare.	yĩyõaag ne yʋʋmde, yaa rɩ-raare.	yĩyõaag ne yʋʋmde, yaa rɩ-raare.
Mam gomdame t'a raasd maam.	J'ai parlé et il me ridiculise.	I spoke and he turns it into derision.
Fuugã raasem (raab) yɩɩ wãna?	Quel est le prix de l'habit ?	What is the price of the garment?
Raasenkam a wata ka.	Chaque jour il vient ici.	Every day he comes here.
Maan dabaar n bels-a t'a wa.	Utilise une ruse pour qu'il vient ici.	Use a ruse to get him here.
a kẽnga rababse.	a kẽnga rababse.	a kẽnga rababse.
A dabda yɛ?	Où va-t-il?	Where is he going?
a su-keelmã kɩtame tɩ rabeem ka tar-a ye.	a su-keelmã kɩtame tɩ rabeem ka tar-a ye.	a su-keelmã kɩtame tɩ rabeem ka tar-a ye.
b mi n yetame tɩ rabɛɛm yir n mete.	b mi n yetame tɩ rabɛɛm yir n mete.	b mi n yetame tɩ rabɛɛm yir n mete.
yaa rabg n kɩt t'a lebg gãeenga.	yaa rabg n kɩt t'a lebg gãeenga.	yaa rabg n kɩt t'a lebg gãeenga.
sɩlg rãamã n bas rabɩllã.	sɩlg rãamã n bas rabɩllã.	sɩlg rãamã n bas rabɩllã.
zaamẽ ne rabɩtẽ a ka wa ye.	zaamẽ ne rabɩtẽ a ka wa ye.	zaamẽ ne rabɩtẽ a ka wa ye.
f sãn yeel pag t'a yaa rabo-tɛɛsa yaa paoore.	f sãn yeel pag t'a yaa rabo-tɛɛsa yaa paoore.	f sãn yeel pag t'a yaa rabo-tɛɛsa yaa paoore.
Kõn yi n bas f ba raboog, yaa sẽn yɩɩd f ba n pa wa.	Si tu refuses de quitter les ruines de la cour de ton père, c'est que plus grand que ton père ne t'y déloge pas. (proverbe›: quel que soit l'attachement à nos habitudes,, il y a des circonstances qui obligent ou qui donnent raison à les abandonner)	If you refuse to leave the ruins of your father's yard, it's because bigger than your father is not dislodging you. (proverb: whatever the attachment to our habits, there are circumstances which oblige or which give reason to abandon them)
Pʋg-yãangã rabsdame.	La vielle femme marche lentement.	The old woman walks slowly.
B rabs-a lame t'a lebg gãeenga.	On a utilisé de la magie pour qu'il devienne fou.	They used magic to make him mad.
Y waa rabʋre?	Quand êtes-vous arrivés?	When did you arrive?
Tõnd kẽnga Kʋdgo n kell n tɩ radg n ta Bobo.	Nous sommes allés à Koudougou et nus avons continué jusqu’à Bobo.	We went to Koudougou and then we continued till Bobo.
a kẽe gõeem n kell n tɩ radge.	a kẽe gõeem n kell n tɩ radge.	a kẽe gõeem n kell n tɩ radge.
A rag n waa ka.	Il était venu ici.	He came.
M sã n dag n bãngẽ, m ka watẽ ye.	Si je savais, je ne serais pas venu.	If I had known, I wouldn't have come.
a zagl rãamã ka lebd be rũndã ye: f sã n tugl-a yaa rag-rage n gʋrd koɛkoɛya.	a zagl rãamã ka lebd be rũndã ye: f sã n tugl-a yaa rag-rage n gʋrd koɛkoɛya.	a zagl rãamã ka lebd be rũndã ye: f sã n tugl-a yaa rag-rage n gʋrd koɛkoɛya.
a ka Moaag ye, a yaa Ragaabga.	a ka Moaag ye, a yaa Ragaabga.	a ka Moaag ye, a yaa Ragaabga.
gom moor tɩ maam ka wʋmd ragaabr ye.	gom moor tɩ maam ka wʋmd ragaabr ye.	gom moor tɩ maam ka wʋmd ragaabr ye.
Tẽngã ragame.	La terre s'est desséchée.	The earth has dried out.
A nugã modame n lebg ragelle.	Son bras s'est enflé et est devenu gros.	His arm has swollen and became thick.
a taa kãadem la a ka mi ragend sõama ye.	a taa kãadem la a ka mi ragend sõama ye.	a taa kãadem la a ka mi ragend sõama ye.
A nug-bi modame n lebg ragla.	Ses doigts se sont enflés et sont devenus gros.	His fingers swelled and became large.
kamaandã bɩɩme n dagl n ka le sakd wãbr ye.	kamaandã bɩɩme n dagl n ka le sakd wãbr ye.	kamaandã bɩɩme n dagl n ka le sakd wãbr ye.
yaa a raglmã yĩng n kɩt t'a sã n yã pag bɩ a ka tõe n zĩnd ye.	yaa a raglmã yĩng n kɩt t'a sã n yã pag bɩ a ka tõe n zĩnd ye.	yaa a raglmã yĩng n kɩt t'a sã n yã pag bɩ a ka tõe n zĩnd ye.
A nug-bilã lebga raglemde.	Son doigt est devenu rigide.	His finger became stiff.
rao-kãngã yaa ragre: a sã n yã paga a ka tõe a meng yɛs ye.	rao-kãngã yaa ragre: a sã n yã paga a ka tõe a meng yɛs ye.	rao-kãngã yaa ragre: a sã n yã paga a ka tõe a meng yɛs ye.
kõbrã sẽn kãgen-a wã tɩ bee hal a ragsendakẽ wã.	kõbrã sẽn kãgen-a wã tɩ bee hal a ragsendakẽ wã.	kõbrã sẽn kãgen-a wã tɩ bee hal a ragsendakẽ wã.
rakagdo yaa zĩm-bedr buudu.	rakagdo yaa zĩm-bedr buudu.	rakagdo yaa zĩm-bedr buudu.
rakãagrã raa niis koabg zaamẽ.	rakãagrã raa niis koabg zaamẽ.	rakãagrã raa niis koabg zaamẽ.
f pʋgdb sã n toeem sɩda, bɩ f toeem dakɩɩre.	f pʋgdb sã n toeem sɩda, bɩ f toeem dakɩɩre.	f pʋgdb sã n toeem sɩda, bɩ f toeem dakɩɩre.
F pʋgdb sã n teem sɩd, bɩ f teem rakɩya.	Si ta tante change de mari, tu dois changer de parent à plaisanterie. (Proverbe, sens: il faut toujours s'adapter aux nouveaux changements dans la vie)	If your aunt takes an other husband, then you have also to change the joking relationships. (Proverb, meaning: You have always to adapt to new situations in life)
rakõorã paama pag n loe fur zaamẽ.	rakõorã paama pag n loe fur zaamẽ.	rakõorã paama pag n loe fur zaamẽ.
bi-kãngã yaa a zagl rakõore.	bi-kãngã yaa a zagl rakõore.	bi-kãngã yaa a zagl rakõore.
bao pag la f ra pa rakõt ye.	bao pag la f ra pa rakõt ye.	bao pag la f ra pa rakõt ye.
yaag zõ-ralemdã sẽn lʋɩ rãamẽ wã n lobe.	yaag zõ-ralemdã sẽn lʋɩ rãamẽ wã n lobe.	yaag zõ-ralemdã sẽn lʋɩ rãamẽ wã n lobe.
Rɩk koomã n ralg la f bas wamdã vɩʋʋgo.	Verse l'eau et laisse la calebasse vide.	Pour out the water from the calabash.
Rãamã noor lalgame n lebg poada.	Le dolo est devenu fade.	The beer has become tasteless.
Zẽedã noor yaa ralsende, pa noom ye.	La sauce est fade elle n'est pas bonne.	The sauce is bland, it is not tasty.
pag la rao fãa zema taaba.	pag la rao fãa zema taaba.	pag la rao fãa zema taaba.
yãoã sɩd ya rap raoa.	yãoã sɩd ya rap raoa.	yãoã sɩd ya rap raoa.
a tee raodgã n dʋ roogã.	a tee raodgã n dʋ roogã.	a tee raodgã n dʋ roogã.
b rɩka wĩir n loe n maan raodg tɩ nebã gãt n dʋʋgd kʋɩlgã.	b rɩka wĩir n loe n maan raodg tɩ nebã gãt n dʋʋgd kʋɩlgã.	b rɩka wĩir n loe n maan raodg tɩ nebã gãt n dʋʋgd kʋɩlgã.
kʋɩɩm-raolgo.	kʋɩɩm-raolgo.	kʋɩɩm-raolgo.
Lingri sãamda raoodo.	La surprise gâte le courage. (proverbe: on est courageux quand on est averti, ce qui permettra de s'apprêter pour y faire face.)	Surprise spoils courage. (proverb: we are courageous when we are warned, which will make it possible to prepare to face it.)
Yao-raoogo.	Petit frère, frère cadet.	Younger male brother.
nin-daoogo	nin-daoogo	nin-daoogo
Raoog sã n kaoos koomẽ me, a kõn lebg yẽbg ye.	Le séjour prolongé dans l'eau ne transforme pas le bout de bois en caïman. (Proverbe: on ne doit pas renier son identité au profit d'une identité étrangère. Pas de singerie donc.)	Staying in the water for a long time does not turn the piece of wood into a crocodile. (Proverb: one should not deny one's identity in favour of a foreign identity. No antics therefore.)
A raoola a meng ne sʋʋg n gũud a ra-taagã.	Il s'est arme d'un couteau et attend son rivale.	He armed himself with a knife and waits for his rival.
F tʋmame, raoolem la woto!	Tu travailles (durement), c'est ça être viril !	You work (hard), that is virility!
pag na gõd raoolle?	pag na gõd raoolle?	pag na gõd raoolle?
a sɩd tʋma raoore, tɩ neb fãa pẽgda.	a sɩd tʋma raoore, tɩ neb fãa pẽgda.	a sɩd tʋma raoore, tɩ neb fãa pẽgda.
wʋg sagdã n vilimd rapoorã n lobe.	wʋg sagdã n vilimd rapoorã n lobe.	wʋg sagdã n vilimd rapoorã n lobe.
nedã gãeoongã pa zaalem ye, yaa rare; ka bãa zaalem ye.	nedã gãeoongã pa zaalem ye, yaa rare; ka bãa zaalem ye.	nedã gãeoongã pa zaalem ye, yaa rare; ka bãa zaalem ye.
a tusa darã n kẽes koomẽ wã n yaool n zombe.	a tusa darã n kẽes koomẽ wã n yaool n zombe.	a tusa darã n kẽes koomẽ wã n yaool n zombe.
Ko-rare.	Grande étendu d'eau.	Big water surface.
b foog-a-la ne rasaan-bãan t'a zõond n kelem.	b foog-a-la ne rasaan-bãan t'a zõond n kelem.	b foog-a-la ne rasaan-bãan t'a zõond n kelem.
Yɩbr-kʋdre yeela a biig t'a gũus ne rɩɩb sẽn dɩga, tɩ rasaare me rɩg a sɛɛga.	Le vieux charognard dit à son petit de se méfier de la nourriture qui est posée par terre parce qu'il y a aussi un bâton posé à côté. (proverbe: toutes opportunités qui se présentent ne sont pas sans risque, il faut toujours être vigilent.)	The old vulture tells his cub to beware of food that is on the ground because there is also a stick lying next to it. (proverb: all opportunities that arise are not without risk, you must always be vigilant.)
Niig koabga, rasaar a ye. Neb koabga, rasaya koabga.	Un seul bâton pour cent bœufs. Cent bâtons pour cent personnes. (Proverbe: la question du management, de la gestion des ressources humaines doit être bien être maîtrisée pour garantir la cohésion au sein d'un groupe afin d'atteindre les objectifs fixés)	A single stick for a hundred oxen. One hundred sticks for one hundred people. (Proverb: the question of management, the management of human resources must be well mastered to guarantee cohesion within a group in order to achieve the set objectives)
A Zã yeelame tɩ rasem a tãab daare, a na wa.	Jean a dit qu'il viendra le troisième jour.	John said that he will come on the third day.
rasempʋɩɩg yaa bakaorg yiri.	rasempʋɩɩg yaa bakaorg yiri.	rasempʋɩɩg yaa bakaorg yiri.
putrpuug sũm yaa rasempʋɩɩg tɩɩm.	putrpuug sũm yaa rasempʋɩɩg tɩɩm.	putrpuug sũm yaa rasempʋɩɩg tɩɩm.
A tɩ maana rasem a wãna?	Il va faire combien de jours ?	He is making how many days?
Mam ka le yãt-a rasmã noorã ye.	Je ne le vois plus ces jours-ci.	I don't see him any more these days.
M rata rɩɩbo.	Je veux de la nourriture.	I want food.
b tusa rayã n kẽes koomẽ wã n yaool n zombe.	b tusa rayã n kẽes koomẽ wã n yaool n zombe.	b tusa rayã n kẽes koomẽ wã n yaool n zombe.
rã-kõagd ka tar yell ye, zoe a yoara?	rã-kõagd ka tar yell ye, zoe a yoara?	rã-kõagd ka tar yell ye, zoe a yoara?
rã-nood la b kũmsd tɩ lebg rãam.	rã-nood la b kũmsd tɩ lebg rãam.	rã-nood la b kũmsd tɩ lebg rãam.
rũndã yaa Komsɩlg naab rã-yũuga	rũndã yaa Komsɩlg naab rã-yũuga	rũndã yaa Komsɩlg naab rã-yũuga
a kelga rã-yũur tɩ moog rɩ a ki.	a kelga rã-yũur tɩ moog rɩ a ki.	a kelga rã-yũur tɩ moog rɩ a ki.
Rãamde maaneg sẽn na yɩlẽ tɩ neba segl b mens	Rãamde maaneg sẽn na yɩlẽ tɩ neba segl b mens	Rãamde maaneg sẽn na yɩlẽ tɩ neba segl b mens
moorẽ wã, gʋls-bil fãa tara a rãamde.	moorẽ wã, gʋls-bil fãa tara a rãamde.	moorẽ wã, gʋls-bil fãa tara a rãamde.
a wʋma bũmb rãamde.	a wʋma bũmb rãamde.	a wʋma bũmb rãamde.
mam sẽn paam tɩɩmã n dɩkã tɛka, m ka le wʋm m lʋgrã rãamd ye.	mam sẽn paam tɩɩmã n dɩkã tɛka, m ka le wʋm m lʋgrã rãamd ye.	mam sẽn paam tɩɩmã n dɩkã tɛka, m ka le wʋm m lʋgrã rãamd ye.
Ba, ba-rãmba.	Père, pères.	Father, fathers.
Waga rãmba. Nasaar-dãmba.	Les gens de Ouagadougou. Les blancs / européens.	The people from Ouagadougou. The white people / Europeans.
Poll dãmba.	Paul et compagnie.	Paul and his folks.
Mali rãmba.	Les gens du Mali.	The people of Mali.
A yɩka lalg zug n tĩimd t'a na-sẽbrã rãmbe.	Il est sauté du mur et s'est foulé la cheville.	He jumped from a wall an sprained his ankle.
kugr n lʋɩ n rãmb a nodrã.	kugr n lʋɩ n rãmb a nodrã.	kugr n lʋɩ n rãmb a nodrã.
A rãmbda zẽedã tɩ ra tabend ye.	Elle remue la sauce.	She stirs the sauce.
Saagã rãmbdame.	L'orage fait des tonnerres.	The storm thunders.
A rãmbda kambã tɩ b togs sẽn zuk-a ligdã.	Il a forcé les enfants de dire qui a volé son argent.	He forced the children to say who stole his money.
rãmbg yaa raoog bɩ kãnkãr b sẽn tar n rãmbd kõgre.	rãmbg yaa raoog bɩ kãnkãr b sẽn tar n rãmbd kõgre.	rãmbg yaa raoog bɩ kãnkãr b sẽn tar n rãmbd kõgre.
A nodr n dãms t'a yãbda.	Sa blessure s'est ravivé et il pelure.	His wound has reopened and he weeps.
a baoo rãnd sẽn na n tui sɛnsɛng n konge.	a baoo rãnd sẽn na n tui sɛnsɛng n konge.	a baoo rãnd sẽn na n tui sɛnsɛng n konge.
sɩlem reb-rebe yaa sɩlem-kẽkdga.	sɩlem reb-rebe yaa sɩlem-kẽkdga.	sɩlem reb-rebe yaa sɩlem-kẽkdga.
tãs biigã t'a ra pilimd a meng ne rebrã.	tãs biigã t'a ra pilimd a meng ne rebrã.	tãs biigã t'a ra pilimd a meng ne rebrã.
A redsda biigã t'a karme sõama.	Il contrains l'enfant de bien étudier.	He forces the child to learn well.
mam ka fo reed-n-taag ye.	mam ka fo reed-n-taag ye.	mam ka fo reed-n-taag ye.
Mam ne-f ka reed-n-taare.	Mam ne-f ka reed-n-taare.	Mam ne-f ka reed-n-taare.
kõ n le reeg yaa nug-tõonese.	kõ n le reeg yaa nug-tõonese.	kõ n le reeg yaa nug-tõonese.
		
Fo pa reeg mam goamã ye.	Tu n'acceptes pas ma parole.	You don't agree with my words.
mam pʋʋs-a lame la a pa reeg ye.	Je l'ai salué, mais il ne m'a pas répondu.	I greeted him, but he didn't answer me.
A pʋda yɩɩll n yet tɩ tõnd reege.	Il a entonné un chant et nous a dit de reprendre le refrain.	He started a song and told us to take it on (and sing with him).
tɩ reeg yẽ me t'a paam n wa rɩ.	tɩ reeg yẽ me t'a paam n wa rɩ.	tɩ reeg yẽ me t'a paam n wa rɩ.
A pa tõog koob tɩ moog reeg a pʋʋgo.	Il n'a pas pu bien cultiver et l'herbe a envahi son champ.	He wasn't able to farm well and the grass has invaded his field.
b kẽngame n na n tɩ ges reem.	b kẽngame n na n tɩ ges reem.	b kẽngame n na n tɩ ges reem.
pa zabr ye, yaa reem.	pa zabr ye, yaa reem.	pa zabr ye, yaa reem.
b maana reem-deem tɩ soaambã põse.	b maana reem-deem tɩ soaambã põse.	b maana reem-deem tɩ soaambã põse.
warb sãood yaa reem-reem-dɛɛmda.	warb sãood yaa reem-reem-dɛɛmda.	warb sãood yaa reem-reem-dɛɛmda.
mam ka fo reed-n-taag ye.	mam ka fo reed-n-taag ye.	mam ka fo reed-n-taag ye.
Biig reemda a sẽn pa yãbẽ zaamẽ.	L'enfant joue là où il n'a pas pleuré hier. (Proverbe: quand quelqu'un a été victime d'une situation donnée, que cela soit de sa faute ou pas, il doit tirer leçons pour éviter que cette situation ne se répète.)	The child is playing where he did not cry yesterday. (Proverb: When someone has been the victim of a given situation, whether it is their fault or not, they must learn lessons to prevent this situation from happening again.)
B sã n deem n zoose, bɩ f reem n yɩke.	Si on joue à faire semblant de lancer, il faut jouer à s'envoler. (proverbe: ce qui n'est pas encore établi a l’apparence d'être préjudiciable, il faut prendre les mesures appropriées pour qu'il ne se produit pas.)	If we play pretend to throw, we have to play fly. (proverb: what is not yet established appears to be harmful, appropriate measures must be taken so that it does not happen.)
a reemda na a rakɩya.	a reemda na a rakɩya.	a reemda na a rakɩya.
Maam n yɩɩnd tɩ yãmb reesdẽ.	Je chante et vous chantez le refrain.	I sing and you sing the refrain.
Yɩɩn-kʋdg ka be reesg ye.	On n'a pas besoin d'exhorter les gens à la reprise du refrain pour une vieille chanson. (Proverbe, sens: une situation déjà connue n'a pas besoin de longues explications)	For an old song, you don't have to teach people the repetition of the refrain. Proverb, meaning: A well known situations doesn't need long explications)
Reezõ yaa porvẽns- rãmb sẽn naag taaba t’a taoor soaba boond tɩ Guvɛɛrneere	Reezõ yaa porvẽns- rãmb sẽn naag taaba t’a taoor soaba boond tɩ Guvɛɛrneere	Reezõ yaa porvẽns- rãmb sẽn naag taaba t’a taoor soaba boond tɩ Guvɛɛrneere
A rella tɩɩgã.	Il s’est appuyé à l'arbre.	He leaned against the tree.
koomã yɛsa ne kʋlga remm...	koomã yɛsa ne kʋlga remm...	koomã yɛsa ne kʋlga remm...
sẽn ning firgoẽ wã, kʋɩɩ remm tɩ pa tõe n kaoog ye.	sẽn ning firgoẽ wã, kʋɩɩ remm tɩ pa tõe n kaoog ye.	sẽn ning firgoẽ wã, kʋɩɩ remm tɩ pa tõe n kaoog ye.
Kutã golmame t'a rems-a.	Il redresse le fer tordu.	He straightens the curved iron.
Bala, bi-ribl bʋg la a ba ka remsda?	Car quel est le fils que le père ne corrige pas?	What son doesn't accept his fathers correction?
a remsa rãamã ne wam-daoog n kõ tõndo.	a remsa rãamã ne wam-daoog n kõ tõndo.	a remsa rãamã ne wam-daoog n kõ tõndo.
a rugda rendeere.	a rugda rendeere.	a rugda rendeere.
a kẽe koomẽ wã tɩ rendeoog sud a kargã.	a kẽe koomẽ wã tɩ rendeoog sud a kargã.	a kẽe koomẽ wã tɩ rendeoog sud a kargã.
Kʋlgã rendga ne koom.	Le marigot est plein d'eau qui stagne.	The river is full of stagnant water.
yaa a reng-n-lɛmbg bɩ yaa tɛkem-tɛkem?	yaa a reng-n-lɛmbg bɩ yaa tɛkem-tɛkem?	yaa a reng-n-lɛmbg bɩ yaa tɛkem-tɛkem?
reng-n-lɛmbg yaa reng-n-kiidga.	reng-n-lɛmbg yaa reng-n-kiidga.	reng-n-lɛmbg yaa reng-n-kiidga.
d maan reng-reng-taaba.	d maan reng-reng-taaba.	d maan reng-reng-taaba.
Pagã yaa bãaneg reng-renge.	La femme est effilée et longue.	The woman is slim and long.
d maan reng-renge.	d maan reng-renge.	d maan reng-renge.
Wẽnd na maneg b reng-taoore la a gũ b sẽn base.	Wẽnd na maneg b reng-taoore la a gũ b sẽn base.	Wẽnd na maneg b reng-taoore la a gũ b sẽn base.
Reng n ta kʋlgẽ n yaool n toog koom.	Arrive d'abord au marigot avant de puiser l'eau.	Arrive first at the river before drawing water.
reng n ku la liulgu.	reng n ku la liulgu.	reng n ku la liulgu.
reonf yaa basɩ rʋko.	reonf yaa basɩ rʋko.	reonf yaa basɩ rʋko.
Nag-reongo. Bʋg-reongo.	Enclos de bœufs. Enclos pour chèvres.	Cattle kraal. Fold for goats.
reoolg yaa kʋl-zẽoogo; koomã sã n sɛ a suta tẽnga.	un poisson qui s'enfonce dans le sol quand l'eau vient à tarir.	a fish that sinks into the ground when the water dries up.
ned bɩ bũmb sẽn nong bɛgd wa reoolgo.	ned bɩ bũmb sẽn nong bɛgd wa reoolgo.	ned bɩ bũmb sẽn nong bɛgd wa reoolgo.
ned yĩma yɩɩn-kãngã reoosgo.	ned yĩma yɩɩn-kãngã reoosgo.	ned yĩma yɩɩn-kãngã reoosgo.
A sẽn gom goam-põaasã, yellã ka resge?	Comme il a parlé des paroles grossières, est-ce que l'affaire n'est pas gâté ?	Since he said these evil words, is it not all spoiled now?
a ra kɛɛda raad tɩ larã resg a nao-bilã.	a ra kɛɛda raad tɩ larã resg a nao-bilã.	a ra kɛɛda raad tɩ larã resg a nao-bilã.
Ret baaga, reoog n kʋʋd-a.	Le chien chasseur de phacochères se fera tuer par un phacochère. (Proverbe: nous devons être prudents, vigilants et modérés dans nos passions et nos habitudes.)	The warthog hunter dog will be killed by a warthog. (Proverb: we must be careful, vigilant and moderate in our passions and our habits.)
A maana rẽ fãa fo yĩnga.	Il a fait tout cela pour toi.	He did all that for you.
Rẽ n so, tɩ b tʋm tɩ b bool-a.	C'est pour cela qu'on a envoyé pour le convoquer.	That's why they sent for him.
Dẽ poore, a Zã kẽnga Bobo soolmẽ.	Après cela, Jean est allé dans Bobo.	After that John went to the Bobo region.
Rẽ tɩ mobilã nan ka be ye.	A ce moment il n'y avait pas encore des voitures.	At that time there were no cars yet.
M ka baood f noor ye. Rẽ wã, bas-m sɩɩ.	Je n'ai pas demandé ton opinion. Donc, laisse-moi tranquille.	I didn't ask for your opinion. So, keep quiet.
Bũmb fãa sɛɛb wakat kolgame. Dẽ wã yĩnga, yɩ-y neb sẽn tar yam la gũus-m-mens-rãmba.	La fin de toutes choses est proche. C'est pourquoi soyez des gens sensés et sobres.	The end of all things is near. Therefore, you must be self-controlled and alert.
A kẽesa baagã la? Rẽ yẽ!	A-t-il enfermé le chien ? Évidemment !	Did he lock in the dog? Obviously!
Rẽ zugẽ, bãmb kuilame.	Après cela, ils sont rentré chez eux.	After that, they went home.
woto yaa ãnda rẽega?	woto yaa ãnda rẽega?	woto yaa ãnda rẽega?
reeg sʋʋgã n rẽeg a zĩigã.	reeg sʋʋgã n rẽeg a zĩigã.	reeg sʋʋgã n rẽeg a zĩigã.
kom-biisi	kom-biisi	kom-biisi
rẽemse ki wã zoe n yiime.	rẽemse ki wã zoe n yiime.	rẽemse ki wã zoe n yiime.
a wi wã rẽenem ket n be a nengã zugu.	a wi wã rẽenem ket n be a nengã zugu.	a wi wã rẽenem ket n be a nengã zugu.
Sõd-kãng sẽn yɩ dẽenem soabã zĩnda Burkĩna.	Ce recensement était le premier au Burkina.	That was the first census / inventory / registration in Burkina.
Bʋd-rẽengã ki wã zoe n yiime.	Le mil qu'on a semé en premier est déjà sorti.	The millet they have planted first has already come out.
Pek f nugã tɩ yaa rẽgdo.	Lave tes mains, car ils sont sales.	Wash your hands, they are dirty.
